"Plot5"
"Time (sec)","Reaction Force9 (newton)","Reaction Force10 (newton)","Reaction Force11 (newton)","Reaction Force13 (newton)"
0,0.832986155886427,31.2990946883142,-3.13234632581647,-25.4499592400164
0.04,10.1295424919003,27.341527995558,4.26651534463439,-21.2015573819121
0.08,15.0823973475238,23.4582265316109,8.56049050721847,-17.4132176875048
0.12,16.4978324129136,18.8361905822294,10.5697680417596,-13.2659736453256
0.16,15.2907110251422,13.1400394590813,11.0000858780712,-8.39461164535027
0.2,12.4128372337074,6.38634188581555,10.4573637053644,-2.76387587725674
0.24,8.80275187388004,-1.14205140432352,9.45333323807119,3.41394274589428
0.28,5.27612914586676,-8.98002478345376,8.37587634381878,9.75859016961372
0.32,2.39021691450487,-16.6011015460973,7.46033624334739,15.8374208502708
0.36,0.378138729488622,-23.5603090442931,6.80789312097932,21.3023671332201
0.4,-0.785041458571474,-29.5918251403504,6.45490789931921,25.9814968084331
0.44,-1.22370385917433,-34.6142632215271,6.45111336059874,29.8783986757186
0.48,-0.998888977956279,-38.6681801148997,6.91029123364637,33.1043511419046
0.52,0.0129766551309396,-41.8342421007021,8.03114469635645,35.7920445372253
0.56,2.20139627508102,-44.1196079802574,10.0840654671447,37.9786953208604
0.6,6.21048693346242,-45.190808463238,13.2801116557403,39.3370368350075
0.64,12.5160952914317,-43.720612447544,17.2427596282667,38.521795850548
0.68,19.766750680979,-36.2780024676347,19.6004657487968,32.0608016685723
0.72,21.5901178774222,-17.2859157348157,14.2301753723529,14.3153129696717
0.76,7.49932444443041,14.9596432339066,-5.505389543403,-16.4969940682855
0.8,-21.6483484906718,47.4286737823119,-33.3799048717427,-47.4361752790208
0.84,-44.1182499452492,61.0546169314009,-49.0462999679232,-59.531797743813
0.88,-44.6578787787334,55.8382198269559,-44.360028609928,-52.8807642851646
0.92,-30.3229765351594,45.1272632682948,-29.4007200588006,-40.9209991807514
0.96,-13.135603943022,36.7171089081891,-14.4120095033441,-31.5263313170713
1,0.832986155886091,31.2990946883143,-3.13234632581674,-25.4499592400165
